timestamp,label,confidence
1763307161.8381507,kintichi,0.926
1763307165.3631852,kenta,0.886
1763307176.5809948,none,0.0
1763307196.4606497,Deglet Nour semi-oily,0.894
1763307200.6561,Deglet Nour semi-oily,0.932
1763307219.3307047,Deglet Nour semi-oily,0.889
1763307224.1351817,kenta,0.914
1763307232.1443,kenta,0.846
1763307243.847293,none,0.0
1763307251.4693737,kenta,0.92
1763462945.2260869,none,0.0
1763462951.5638711,none,0.0
1763462957.9539626,none,0.0
1763462969.8983626,none,0.0
1763462976.190323,none,0.0
1763462982.484664,none,0.0
1763462988.6766772,none,0.0
1763462994.9994771,none,0.0
1763463001.263808,none,0.0
1763463007.6752222,none,0.0
1763463013.8921964,none,0.0
1763463020.1778977,none,0.0
1763463026.3696134,none,0.0
1763463031.6548417,none,0.0
1763463037.9193997,none,0.0
1763463043.187949,none,0.0
1763463049.4851015,none,0.0
1763463055.6555805,none,0.0
1763463061.9962602,none,0.0
1763463067.8038595,none,0.0
1763463073.9661672,none,0.0
1763463080.2849782,none,0.0
1763463083.4202054,kenta,0.995
1763463087.0688772,none,0.0
1763463093.438957,none,0.0
1763463099.7791593,none,0.0
1763463106.2407172,none,0.0
1763463112.5622532,none,0.0
1763463118.189977,none,0.0
1763463124.7510862,none,0.0
1763463130.9167602,none,0.0
1763463138.3841715,none,0.0
1763463144.2680225,none,0.0
1763463150.5003614,none,0.0
1763463156.7961843,none,0.0
1763463163.073144,none,0.0
1763463163.645087,kenta,0.804
1763463171.0261638,none,0.0
1763463182.219532,none,0.0
1763463188.4478433,none,0.0
1763463194.5302029,none,0.0
1763463200.7373335,none,0.0
1763463204.4150376,kenta,0.948
1763463207.3495002,none,0.0
1763463213.543481,none,0.0
1763463219.8569727,none,0.0
1763463226.025408,none,0.0
1763463232.273278,none,0.0
1763463237.6255834,none,0.0
1763463243.777979,none,0.0
1763463249.9927835,none,0.0
1763463256.233203,none,0.0
1763463262.455269,none,0.0
1763463271.4469035,none,0.0
1763463277.8442438,none,0.0
1763463284.0853922,none,0.0
1763463290.353848,none,0.0
1763463296.7125118,none,0.0
1763463303.722357,none,0.0
1763463309.7687492,none,0.0
1763463313.0255194,Deglet Nour semi-oily treated,0.847
1763463321.124152,none,0.0
1763463327.4051275,none,0.0
1763463332.770982,none,0.0
1763463339.218011,none,0.0
1763463345.3628976,none,0.0
1763463351.638574,none,0.0
1763463357.8336842,none,0.0
1763463364.1633508,none,0.0
1763463370.417818,none,0.0
1763463376.5254855,none,0.0
1763463382.7416694,none,0.0
1763463388.9797704,none,0.0
1763463395.234826,none,0.0
1763463401.4116516,none,0.0
1763463408.2262876,none,0.0
1763463414.4742875,none,0.0
1763463419.83765,none,0.0
1763463426.0505586,none,0.0
1763463432.2442188,none,0.0
1763463449.3348877,none,0.0
1763463455.2023327,none,0.0
1763463455.5950649,kenta,0.906
1763463460.7804356,none,0.0
1763463467.2029326,none,0.0
1763463473.4973283,none,0.0
1763463479.604296,none,0.0
1763463484.9421766,none,0.0
1763463491.2004604,none,0.0
1763463497.452947,none,0.0
1763463503.9987226,none,0.0
1763463510.478327,none,0.0
1763463516.7865484,none,0.0
1763463523.0666928,none,0.0
1763463530.2777846,Deglet Nour dryer,0.842
1763463532.0183697,none,0.0
1763463541.7751439,none,0.0
1763463547.9905531,none,0.0
1763463556.5069516,none,0.0
1763463562.7606835,none,0.0
1763463569.0688596,none,0.0
1763463577.5178428,Deglet Nour dryer,0.812
1763463579.3295066,Deglet Nour dryer,0.829
1763463582.3881779,none,0.0
1763463588.6053712,none,0.0
1763463595.452295,none,0.0
1763463601.7264202,none,0.0
1763463605.341127,kenta,0.972
1763463606.9111695,none,0.0
1763463612.2291007,none,0.0
1763463618.4486554,none,0.0
1763463623.610451,none,0.0
1763463629.924609,none,0.0
1763463636.0917256,none,0.0
1763463642.770463,none,0.0
1763463651.3806534,none,0.0
1763463657.7972722,none,0.0
1763463668.6672544,none,0.0
1763463673.8871903,none,0.0
1763463679.0768974,none,0.0
1763463687.9834745,none,0.0
1763463693.1276402,none,0.0
1763463699.3416727,none,0.0
1763463707.150267,none,0.0
1763463711.3126483,Deglet Nour semi-oily,0.989
1763463712.95625,none,0.0
1763463719.2933173,none,0.0
1763463724.562282,none,0.0
1763463730.0376916,none,0.0
1763463740.2229898,none,0.0
1763463766.3472164,Deglet Nour semi-oily treated,0.876
1763463767.834886,Deglet Nour semi-oily treated,0.924
1763463775.8600664,none,0.0
1763463785.8043158,none,0.0
1763463793.0349216,kenta,0.953
1763463794.5456896,none,0.0
1763463799.722499,none,0.0
1763463806.8350518,none,0.0
1763463812.3767653,none,0.0
1763463819.9858556,none,0.0
1763463832.722796,none,0.0
1763463836.4172797,Deglet Nour semi-dryer treated,0.915
1763463840.9403512,none,0.0
1763463847.2154644,none,0.0
1763463853.4600828,none,0.0
1763463859.7366495,none,0.0
1763463865.1089087,none,0.0
1763463871.3917398,none,0.0
1763463877.5613313,none,0.0
1763463883.7596724,none,0.0
1763463889.9992142,none,0.0
1763463896.1537366,none,0.0
1763463899.7657025,kenta,0.877
1763463901.2830305,none,0.0
1763463914.928287,none,0.0
1763463920.722164,none,0.0
1763463932.384555,kenta,0.915
1763463938.6571333,none,0.0
1763463944.939972,none,0.0
1763463951.2515814,none,0.0
1763463959.2905998,Deglet Nour oily,0.804
1763463961.6859665,Deglet Nour oily,0.842
1763463967.7570896,none,0.0
1763463976.2979891,none,0.0
1763463982.6553888,none,0.0
1763463989.0673547,none,0.0
1763463995.197109,none,0.0
1763464001.3246524,kenta,0.829
1763464004.2983754,none,0.0
1763464012.1482735,none,0.0
1763464018.2921999,none,0.0
1763464175.1799955,none,0.0
1763464183.7933576,none,0.0
1763464190.0938416,none,0.0
1763464196.2054067,none,0.0
1763464202.49034,none,0.0
1763464208.8663886,none,0.0
1763998443.160293,none,0.0
1763998449.2409225,none,0.0
1763998455.3137822,none,0.0
1763998461.3934495,none,0.0
1763998467.4994564,none,0.0
1763998472.590067,none,0.0
1763998476.3669367,kenta,0.949
1763998477.901623,none,0.0
1763998485.6827874,none,0.0
1763998488.560618,kenta,0.964
1763998489.940789,kenta,0.991
1763998491.446263,kenta,0.937
1763998492.3514192,kenta,0.985
1763998493.8864272,none,0.0
1763998500.1959567,none,0.0
1763998506.3357162,none,0.0
1763998512.4109633,none,0.0
1763998518.5769238,none,0.0
1763998524.7886918,none,0.0
1763998533.9163141,kenta,0.886
1763998535.869668,none,0.0
